Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_SiPM","AFBR-S4N33C013(3x3mm9bga)",96.000000,-107.755000,180.000000,top
"D2","D_SiPM","AFBR-S4N33C013(3x3mm9bga)",96.000000,-88.045000,0.000000,top
"D3","D_SiPM","SiPM_Advansid",81.100000,-101.400000,90.000000,top
"D4","D_SiPM","SiPM_Advansid",90.100000,-94.400000,-90.000000,top
