"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2";"AFBR-S4N33C013(3x3mm9bga)";2;"D_SiPM";;;
2;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"5k";;;
3;"C1,C2";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";2;"10u";;;
4;"H1,H2";"MountingHole_3mm";2;"MountingHole";;;
5;"J2,J1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Male";;;
6;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
